Field [T],Resistance [立],custom_rho_xy [m*立],custom_rho_xy_linHall [m*立],custom_rho_xy_2bnd_he [m*立]
-13.9825,-2.1238,-8.4952e-07,-1.0754e-06,-8.5473e-07
-13.1075,-1.9762,-7.9048e-07,-1.0151e-06,-7.909e-07
-12.2325,-1.8216,-7.2864e-07,-9.5491e-07,-7.2901e-07
-11.3575,-1.6757,-6.7028e-07,-8.9467e-07,-6.6896e-07
-10.4825,-1.5292,-6.1168e-07,-8.3443e-07,-6.1064e-07
-9.6075,-1.3866,-5.5464e-07,-7.7419e-07,-5.5391e-07
-8.7325,-1.248,-4.992e-07,-7.1395e-07,-4.9867e-07
-7.8575,-1.1162,-4.4648e-07,-6.5371e-07,-4.4478e-07
-6.9825,-0.9886,-3.9544e-07,-5.9347e-07,-3.9213e-07
-6.1075,-0.861,-3.444e-07,-5.3323e-07,-3.4057e-07
-5.2325,-0.7401,-2.9604e-07,-4.7299e-07,-2.8997e-07
-4.3575,-0.6085,-2.434e-07,-4.1275e-07,-2.4021e-07
-3.4825,-0.4571,-1.8284e-07,-3.5251e-07,-1.9114e-07
-2.6075,-0.3252,-1.3008e-07,-2.9227e-07,-1.4263e-07
-1.7325,-0.211,-8.44e-08,-2.3203e-07,-9.4539e-08
-0.8575,-0.1012,-4.048e-08,-1.7179e-07,-4.6724e-08
0.0175,0.0019,7.6e-10,-1.1155e-07,9.531e-10
0.8925,0.1046,4.184e-08,-5.1307e-08,4.8633e-08
1.7675,0.2154,8.616e-08,8.9333e-09,9.6456e-08
2.6425,0.3307,1.3228e-07,6.9173e-08,1.4456e-07
3.5175,0.4638,1.8552e-07,1.2941e-07,1.9309e-07
4.3925,0.6149,2.4596e-07,1.8965e-07,2.4219e-07
5.2675,0.745,2.98e-07,2.4989e-07,2.9198e-07
6.1425,0.8674,3.4696e-07,3.1013e-07,3.4261e-07
7.0175,0.9925,3.97e-07,3.7037e-07,3.9421e-07
7.8925,1.1206,4.4824e-07,4.3061e-07,4.4692e-07
8.7675,1.253,5.012e-07,4.9085e-07,5.0085e-07
9.6425,1.3912,5.5648e-07,5.5109e-07,5.5615e-07
10.5175,1.5341,6.1364e-07,6.1133e-07,6.1294e-07
11.3925,1.6793,6.7172e-07,6.7157e-07,6.7133e-07
12.2675,1.8288,7.3152e-07,7.3181e-07,7.3145e-07
13.1425,1.9805,7.922e-07,7.9205e-07,7.9341e-07
